Country,Initials,Year,0-15,16-30,31-45,46-60,61-75,76-90,ET,Yellows,Reds
Algeria,ALG,1930,,,,,,,,,
Algeria,ALG,1934,,,,,,,,,
Algeria,ALG,1938,,,,,,,,,
Algeria,ALG,1950,,,,,,,,,
Algeria,ALG,1954,,,,,,,,,
Algeria,ALG,1958,,,,,,,,,
Algeria,ALG,1962,,,,,,,,,
Algeria,ALG,1966,,,,,,,,,
Algeria,ALG,1970,,,,,,,,,
Algeria,ALG,1974,,,,,,,,,
Algeria,ALG,1978,,,,,,,,,
Algeria,ALG,1982,1,0,2,1,1,0,0,2,0
Algeria,ALG,1986,0,0,0,1,0,0,0,2,0
Algeria,ALG,1990,,,,,,,,,
Algeria,ALG,1994,,,,,,,,,
Algeria,ALG,1998,,,,,,,,,
Algeria,ALG,2002,,,,,,,,,
Algeria,ALG,2006,,,,,,,,,
Algeria,ALG,2010,0,0,0,0,0,0,0,8,2
Algeria,ALG,2014,0,2,1,1,1,0,1,6,0
Angola,ANG,1930,,,,,,,,,
Angola,ANG,1934,,,,,,,,,
Angola,ANG,1938,,,,,,,,,
Angola,ANG,1950,,,,,,,,,
Angola,ANG,1954,,,,,,,,,
Angola,ANG,1958,,,,,,,,,
Angola,ANG,1962,,,,,,,,,
Angola,ANG,1966,,,,,,,,,
Angola,ANG,1970,,,,,,,,,
Angola,ANG,1974,,,,,,,,,
Angola,ANG,1978,,,,,,,,,
Angola,ANG,1982,,,,,,,,,
Angola,ANG,1986,,,,,,,,,
Angola,ANG,1990,,,,,,,,,
Angola,ANG,1994,,,,,,,,,
Angola,ANG,1998,,,,,,,,,
Angola,ANG,2002,,,,,,,,,
Angola,ANG,2006,0,0,0,1,0,0,0,11,1
Angola,ANG,2010,,,,,,,,,
Angola,ANG,2014,,,,,,,,,
Argentina,ARG,1930,4,3,1,4,1,5,0,0,0
Argentina,ARG,1934,1,0,0,1,0,0,0,0,0
Argentina,ARG,1938,,,,,,,,,
Argentina,ARG,1950,,,,,,,,,
Argentina,ARG,1954,,,,,,,,,
Argentina,ARG,1958,1,0,0,2,0,0,0,0,0
Argentina,ARG,1962,1,0,0,0,0,1,0,1,0
Argentina,ARG,1966,0,0,0,1,1,2,0,3,2
Argentina,ARG,1970,,,,,,,,,
Argentina,ARG,1974,1,3,1,2,2,0,0,8,0
Argentina,ARG,1978,1,2,2,2,4,1,2,5,0
Argentina,ARG,1982,0,2,0,3,0,2,0,7,2
Argentina,ARG,1986,2,2,2,5,1,2,0,12,0
Argentina,ARG,1990,0,1,0,0,2,2,0,24,3
Argentina,ARG,1994,1,2,1,1,1,0,0,9,0
Argentina,ARG,1998,0,2,3,1,1,1,0,11,1
Argentina,ARG,2002,0,0,0,0,1,1,0,6,1
Argentina,ARG,2006,2,1,3,1,0,3,1,12,0
Argentina,ARG,2010,1,1,2,1,0,4,0,7,0
Argentina,ARG,2014,2,0,1,1,1,1,1,8,0
Australia,AUS,1930,,,,,,,,,
Australia,AUS,1934,,,,,,,,,
Australia,AUS,1938,,,,,,,,,
Australia,AUS,1950,,,,,,,,,
Australia,AUS,1954,,,,,,,,,
Australia,AUS,1958,,,,,,,,,
Australia,AUS,1962,,,,,,,,,
Australia,AUS,1966,,,,,,,,,
Australia,AUS,1970,,,,,,,,,
Australia,AUS,1974,0,0,0,0,0,0,0,2,1
Australia,AUS,1978,,,,,,,,,
Australia,AUS,1982,,,,,,,,,
Australia,AUS,1986,,,,,,,,,
Australia,AUS,1990,,,,,,,,,
Australia,AUS,1994,,,,,,,,,
Australia,AUS,1998,,,,,,,,,
Australia,AUS,2002,,,,,,,,,
Australia,AUS,2006,0,0,0,0,0,4,0,11,1
Australia,AUS,2010,1,0,0,0,2,0,0,7,2
Australia,AUS,2014,0,1,1,0,0,0,0,6,0
Austria,AUT,1930,,,,,,,,,
Austria,AUT,1934,1,1,1,2,0,0,2,0,0
Austria,AUT,1938,,,,,,,,,
Austria,AUT,1950,,,,,,,,,
Austria,AUT,1954,2,5,3,2,1,2,0,0,0
Austria,AUT,1958,0,1,0,0,1,0,0,0,0
Austria,AUT,1962,,,,,,,,,
Austria,AUT,1966,,,,,,,,,
Austria,AUT,1970,,,,,,,,,
Austria,AUT,1974,,,,,,,,,
Austria,AUT,1978,1,0,0,0,1,3,0,2,0
Austria,AUT,1982,0,1,0,2,2,0,0,6,0
Austria,AUT,1986,,,,,,,,,
Austria,AUT,1990,0,0,0,1,1,0,0,9,1
Austria,AUT,1994,,,,,,,,,
Austria,AUT,1998,0,0,0,0,0,2,0,6,0
Austria,AUT,2002,,,,,,,,,
Austria,AUT,2006,,,,,,,,,
Austria,AUT,2010,,,,,,,,,
Austria,AUT,2014,,,,,,,,,
Belgium,BEL,1930,0,0,0,0,0,0,0,0,0
Belgium,BEL,1934,0,1,1,0,0,0,0,0,0
Belgium,BEL,1938,0,0,1,0,0,0,0,0,0
Belgium,BEL,1950,,,,,,,,,
Belgium,BEL,1954,1,0,0,0,2,1,0,0,0
Belgium,BEL,1958,,,,,,,,,
Belgium,BEL,1962,,,,,,,,,
Belgium,BEL,1966,,,,,,,,,
Belgium,BEL,1970,1,0,0,1,0,1,0,2,0
Belgium,BEL,1974,,,,,,,,,
Belgium,BEL,1978,,,,,,,,,
Belgium,BEL,1982,0,1,0,0,1,1,0,3,0
Belgium,BEL,1986,1,2,2,2,1,1,2,8,0
Belgium,BEL,1990,1,2,0,2,1,0,0,2,1
Belgium,BEL,1994,2,0,0,0,1,1,0,6,0
Belgium,BEL,1998,1,0,1,1,0,0,0,4,1
Belgium,BEL,2002,2,0,0,1,1,2,0,6,0
Belgium,BEL,2006,,,,,,,,,
Belgium,BEL,2010,,,,,,,,,
Belgium,BEL,2014,0,0,0,0,1,3,2,7,1
Bolivia,BOL,1930,0,0,0,0,0,0,0,0,0
Bolivia,BOL,1934,,,,,,,,,
Bolivia,BOL,1938,,,,,,,,,
Bolivia,BOL,1950,0,0,0,0,0,0,0,0,0
Bolivia,BOL,1954,,,,,,,,,
Bolivia,BOL,1958,,,,,,,,,
Bolivia,BOL,1962,,,,,,,,,
Bolivia,BOL,1966,,,,,,,,,
Bolivia,BOL,1970,,,,,,,,,
Bolivia,BOL,1974,,,,,,,,,
Bolivia,BOL,1978,,,,,,,,,
Bolivia,BOL,1982,,,,,,,,,
Bolivia,BOL,1986,,,,,,,,,
Bolivia,BOL,1990,,,,,,,,,
Bolivia,BOL,1994,0,0,0,0,1,0,0,8,2
Bolivia,BOL,1998,,,,,,,,,
Bolivia,BOL,2002,,,,,,,,,
Bolivia,BOL,2006,,,,,,,,,
Bolivia,BOL,2010,,,,,,,,,
Bolivia,BOL,2014,,,,,,,,,
Bosnia and Herzegovina,BIH,1930,,,,,,,,,
Bosnia and Herzegovina,BIH,1934,,,,,,,,,
Bosnia and Herzegovina,BIH,1938,,,,,,,,,
Bosnia and Herzegovina,BIH,1950,,,,,,,,,
Bosnia and Herzegovina,BIH,1954,,,,,,,,,
Bosnia and Herzegovina,BIH,1958,,,,,,,,,
Bosnia and Herzegovina,BIH,1962,,,,,,,,,
Bosnia and Herzegovina,BIH,1966,,,,,,,,,
Bosnia and Herzegovina,BIH,1970,,,,,,,,,
Bosnia and Herzegovina,BIH,1974,,,,,,,,,
Bosnia and Herzegovina,BIH,1978,,,,,,,,,
Bosnia and Herzegovina,BIH,1982,,,,,,,,,
Bosnia and Herzegovina,BIH,1986,,,,,,,,,
Bosnia and Herzegovina,BIH,1990,,,,,,,,,
Bosnia and Herzegovina,BIH,1994,,,,,,,,,
Bosnia and Herzegovina,BIH,1998,,,,,,,,,
Bosnia and Herzegovina,BIH,2002,,,,,,,,,
Bosnia and Herzegovina,BIH,2006,,,,,,,,,
Bosnia and Herzegovina,BIH,2010,,,,,,,,,
Bosnia and Herzegovina,BIH,2014,0,1,0,1,0,2,0,3,0
Brazil,BRA,1930,0,0,1,0,3,1,0,0,0
Brazil,BRA,1934,0,0,0,1,0,0,0,0,0
Brazil,BRA,1938,0,3,2,1,4,2,2,0,2
Brazil,BRA,1950,2,3,4,5,4,3,0,1,0
Brazil,BRA,1954,0,2,2,0,3,0,0,0,2
Brazil,BRA,1958,3,0,3,3,4,3,0,0,0
Brazil,BRA,1962,1,1,2,4,3,3,0,0,1
Brazil,BRA,1966,2,0,0,0,2,0,0,1,0
Brazil,BRA,1970,2,4,1,3,5,4,0,4,0
Brazil,BRA,1974,1,0,1,2,1,1,0,11,1
Brazil,BRA,1978,2,1,2,1,3,0,0,9,0
Brazil,BRA,1982,2,1,2,1,7,2,0,2,0
Brazil,BRA,1986,1,1,1,1,2,2,0,3,0
Brazil,BRA,1990,0,0,2,0,1,1,0,7,1
Brazil,BRA,1994,0,1,1,2,4,2,0,8,1
Brazil,BRA,1998,4,2,1,3,1,1,0,12,0
Brazil,BRA,2002,3,0,3,4,4,2,0,7,1
Brazil,BRA,2006,1,0,3,3,0,3,0,11,0
Brazil,BRA,2010,1,1,2,3,2,0,0,9,2
Brazil,BRA,2014,1,3,1,1,1,3,0,14,0
Bulgaria,BUL,1930,,,,,,,,,
Bulgaria,BUL,1934,,,,,,,,,
Bulgaria,BUL,1938,,,,,,,,,
Bulgaria,BUL,1950,,,,,,,,,
Bulgaria,BUL,1954,,,,,,,,,
Bulgaria,BUL,1958,,,,,,,,,
Bulgaria,BUL,1962,0,0,0,0,1,0,0,0,0
Bulgaria,BUL,1966,1,0,0,0,0,0,0,3,0
Bulgaria,BUL,1970,2,0,1,1,0,1,0,0,0
Bulgaria,BUL,1974,0,0,0,0,1,0,0,2,0
Bulgaria,BUL,1978,,,,,,,,,
Bulgaria,BUL,1982,,,,,,,,,
Bulgaria,BUL,1986,1,0,0,0,0,1,0,3,0
Bulgaria,BUL,1990,,,,,,,,,
Bulgaria,BUL,1994,1,0,0,0,3,3,0,23,2
Bulgaria,BUL,1998,0,0,0,1,0,0,0,8,1
Bulgaria,BUL,2002,,,,,,,,,
Bulgaria,BUL,2006,,,,,,,,,
Bulgaria,BUL,2010,,,,,,,,,
Bulgaria,BUL,2014,,,,,,,,,
Cameroon,CMR,1930,,,,,,,,,
Cameroon,CMR,1934,,,,,,,,,
Cameroon,CMR,1938,,,,,,,,,
Cameroon,CMR,1950,,,,,,,,,
Cameroon,CMR,1954,,,,,,,,,
Cameroon,CMR,1958,,,,,,,,,
Cameroon,CMR,1962,,,,,,,,,
Cameroon,CMR,1966,,,,,,,,,
Cameroon,CMR,1970,,,,,,,,,
Cameroon,CMR,1974,,,,,,,,,
Cameroon,CMR,1978,,,,,,,,,
Cameroon,CMR,1982,0,0,0,0,1,0,0,4,0
Cameroon,CMR,1986,,,,,,,,,
Cameroon,CMR,1990,0,0,0,0,2,2,2,14,2
Cameroon,CMR,1994,0,0,1,2,0,0,0,5,1
Cameroon,CMR,1998,0,0,0,1,0,1,0,6,3
Cameroon,CMR,2002,0,0,1,0,1,0,0,10,1
Cameroon,CMR,2006,,,,,,,,,
Cameroon,CMR,2010,1,0,0,0,0,0,0,5,0
Cameroon,CMR,2014,0,1,0,0,0,0,0,4,1
Canada,CAN,1930,,,,,,,,,
Canada,CAN,1934,,,,,,,,,
Canada,CAN,1938,,,,,,,,,
Canada,CAN,1950,,,,,,,,,
Canada,CAN,1954,,,,,,,,,
Canada,CAN,1958,,,,,,,,,
Canada,CAN,1962,,,,,,,,,
Canada,CAN,1966,,,,,,,,,
Canada,CAN,1970,,,,,,,,,
Canada,CAN,1974,,,,,,,,,
Canada,CAN,1978,,,,,,,,,
Canada,CAN,1982,,,,,,,,,
Canada,CAN,1986,0,0,0,0,0,0,0,2,1
Canada,CAN,1990,,,,,,,,,
Canada,CAN,1994,,,,,,,,,
Canada,CAN,1998,,,,,,,,,
Canada,CAN,2002,,,,,,,,,
Canada,CAN,2006,,,,,,,,,
Canada,CAN,2010,,,,,,,,,
Canada,CAN,2014,,,,,,,,,
Chile,CHI,1930,2,0,0,0,2,0,0,0,0
Chile,CHI,1934,,,,,,,,,
Chile,CHI,1938,,,,,,,,,
Chile,CHI,1950,0,1,1,2,0,1,0,0,0
Chile,CHI,1954,,,,,,,,,
Chile,CHI,1958,,,,,,,,,
Chile,CHI,1962,1,1,2,2,1,2,0,0,1
Chile,CHI,1966,0,0,1,0,0,0,0,1,0
Chile,CHI,1970,,,,,,,,,
Chile,CHI,1974,0,0,0,0,1,0,0,5,1
Chile,CHI,1978,,,,,,,,,
Chile,CHI,1982,0,0,0,0,1,1,0,4,0
Chile,CHI,1986,,,,,,,,,
Chile,CHI,1990,,,,,,,,,
Chile,CHI,1994,,,,,,,,,
Chile,CHI,1998,0,1,1,1,2,0,0,13,0
Chile,CHI,2002,,,,,,,,,
Chile,CHI,2006,,,,,,,,,
Chile,CHI,2010,0,0,1,1,1,0,0,15,1
Chile,CHI,2014,2,1,2,0,0,1,0,7,0
China PR,CHN,1930,,,,,,,,,
China PR,CHN,1934,,,,,,,,,
China PR,CHN,1938,,,,,,,,,
China PR,CHN,1950,,,,,,,,,
China PR,CHN,1954,,,,,,,,,
China PR,CHN,1958,,,,,,,,,
China PR,CHN,1962,,,,,,,,,
China PR,CHN,1966,,,,,,,,,
China PR,CHN,1970,,,,,,,,,
China PR,CHN,1974,,,,,,,,,
China PR,CHN,1978,,,,,,,,,
China PR,CHN,1982,,,,,,,,,
China PR,CHN,1986,,,,,,,,,
China PR,CHN,1990,,,,,,,,,
China PR,CHN,1994,,,,,,,,,
China PR,CHN,1998,,,,,,,,,
China PR,CHN,2002,0,0,0,0,0,0,0,5,1
China PR,CHN,2006,,,,,,,,,
China PR,CHN,2010,,,,,,,,,
China PR,CHN,2014,,,,,,,,,
Colombia,COL,1930,,,,,,,,,
Colombia,COL,1934,,,,,,,,,
Colombia,COL,1938,,,,,,,,,
Colombia,COL,1950,,,,,,,,,
Colombia,COL,1954,,,,,,,,,
Colombia,COL,1958,,,,,,,,,
Colombia,COL,1962,0,1,0,0,2,1,0,0,0
Colombia,COL,1966,,,,,,,,,
Colombia,COL,1970,,,,,,,,,
Colombia,COL,1974,,,,,,,,,
Colombia,COL,1978,,,,,,,,,
Colombia,COL,1982,,,,,,,,,
Colombia,COL,1986,,,,,,,,,
Colombia,COL,1990,0,0,0,1,0,2,1,5,0
Colombia,COL,1994,0,0,2,0,0,2,0,7,0
Colombia,COL,1998,0,0,0,0,0,1,0,5,0
Colombia,COL,2002,,,,,,,,,
Colombia,COL,2006,,,,,,,,,
Colombia,COL,2010,,,,,,,,,
Colombia,COL,2014,1,1,0,3,2,3,0,5,0
Costa Rica,CRC,1930,,,,,,,,,
Costa Rica,CRC,1934,,,,,,,,,
Costa Rica,CRC,1938,,,,,,,,,
Costa Rica,CRC,1950,,,,,,,,,
Costa Rica,CRC,1954,,,,,,,,,
Costa Rica,CRC,1958,,,,,,,,,
Costa Rica,CRC,1962,,,,,,,,,
Costa Rica,CRC,1966,,,,,,,,,
Costa Rica,CRC,1970,,,,,,,,,
Costa Rica,CRC,1974,,,,,,,,,
Costa Rica,CRC,1978,,,,,,,,,
Costa Rica,CRC,1982,,,,,,,,,
Costa Rica,CRC,1986,,,,,,,,,
Costa Rica,CRC,1990,0,0,0,2,1,1,0,6,0
Costa Rica,CRC,1994,,,,,,,,,
Costa Rica,CRC,1998,,,,,,,,,
Costa Rica,CRC,2002,0,0,1,1,2,1,0,6,0
Costa Rica,CRC,2006,1,1,0,0,1,0,0,8,0
Costa Rica,CRC,2010,,,,,,,,,
Costa Rica,CRC,2014,0,0,1,3,0,1,0,12,1
Croatia,CRO,1930,,,,,,,,,
Croatia,CRO,1934,,,,,,,,,
Croatia,CRO,1938,,,,,,,,,
Croatia,CRO,1950,,,,,,,,,
Croatia,CRO,1954,,,,,,,,,
Croatia,CRO,1958,,,,,,,,,
Croatia,CRO,1962,,,,,,,,,
Croatia,CRO,1966,,,,,,,,,
Croatia,CRO,1970,,,,,,,,,
Croatia,CRO,1974,,,,,,,,,
Croatia,CRO,1978,,,,,,,,,
Croatia,CRO,1982,,,,,,,,,
Croatia,CRO,1986,,,,,,,,,
Croatia,CRO,1990,,,,,,,,,
Croatia,CRO,1994,,,,,,,,,
Croatia,CRO,1998,1,1,2,2,1,3,0,19,0
Croatia,CRO,2002,0,0,0,0,1,1,0,3,1
Croatia,CRO,2006,1,0,0,1,0,0,0,11,2
Croatia,CRO,2010,,,,,,,,,
Croatia,CRO,2014,1,0,0,1,2,1,0,4,1
Cuba,CUB,1930,,,,,,,,,
Cuba,CUB,1934,,,,,,,,,
Cuba,CUB,1938,0,0,1,2,1,0,1,0,0
Cuba,CUB,1950,,,,,,,,,
Cuba,CUB,1954,,,,,,,,,
Cuba,CUB,1958,,,,,,,,,
Cuba,CUB,1962,,,,,,,,,
Cuba,CUB,1966,,,,,,,,,
Cuba,CUB,1970,,,,,,,,,
Cuba,CUB,1974,,,,,,,,,
Cuba,CUB,1978,,,,,,,,,
Cuba,CUB,1982,,,,,,,,,
Cuba,CUB,1986,,,,,,,,,
Cuba,CUB,1990,,,,,,,,,
Cuba,CUB,1994,,,,,,,,,
Cuba,CUB,1998,,,,,,,,,
Cuba,CUB,2002,,,,,,,,,
Cuba,CUB,2006,,,,,,,,,
Cuba,CUB,2010,,,,,,,,,
Cuba,CUB,2014,,,,,,,,,
Czech Republic,CZE,1930,,,,,,,,,
Czech Republic,CZE,1934,,,,,,,,,
Czech Republic,CZE,1938,,,,,,,,,
Czech Republic,CZE,1950,,,,,,,,,
Czech Republic,CZE,1954,,,,,,,,,
Czech Republic,CZE,1958,,,,,,,,,
Czech Republic,CZE,1962,,,,,,,,,
Czech Republic,CZE,1966,,,,,,,,,
Czech Republic,CZE,1970,,,,,,,,,
Czech Republic,CZE,1974,,,,,,,,,
Czech Republic,CZE,1978,,,,,,,,,
Czech Republic,CZE,1982,,,,,,,,,
Czech Republic,CZE,1986,,,,,,,,,
Czech Republic,CZE,1990,,,,,,,,,
Czech Republic,CZE,1994,,,,,,,,,
Czech Republic,CZE,1998,,,,,,,,,
Czech Republic,CZE,2002,,,,,,,,,
Czech Republic,CZE,2006,1,0,1,0,0,1,0,7,2
Czech Republic,CZE,2010,,,,,,,,,
Czech Republic,CZE,2014,,,,,,,,,
Czechoslovakia,TCH,1930,,,,,,,,,
Czechoslovakia,TCH,1934,0,2,0,2,3,2,0,0,0
Czechoslovakia,TCH,1938,0,1,0,0,0,0,3,0,1
Czechoslovakia,TCH,1950,,,,,,,,,
Czechoslovakia,TCH,1954,0,0,0,0,0,0,0,0,0
Czechoslovakia,TCH,1958,1,2,2,0,1,2,0,0,1
Czechoslovakia,TCH,1962,3,0,0,1,0,2,0,0,0
Czechoslovakia,TCH,1966,,,,,,,,,
Czechoslovakia,TCH,1970,2,0,0,0,0,0,0,3,0
Czechoslovakia,TCH,1974,,,,,,,,,
Czechoslovakia,TCH,1978,,,,,,,,,
Czechoslovakia,TCH,1982,0,0,0,0,0,0,0,2,1
Czechoslovakia,TCH,1986,,,,,,,,,
Czechoslovakia,TCH,1990,1,1,0,1,1,4,0,13,1
Czechoslovakia,TCH,1994,,,,,,,,,
Czechoslovakia,TCH,1998,,,,,,,,,
Czechoslovakia,TCH,2002,,,,,,,,,
Czechoslovakia,TCH,2006,,,,,,,,,
Czechoslovakia,TCH,2010,,,,,,,,,
Czechoslovakia,TCH,2014,,,,,,,,,
C�te d'Ivoire,CIV,1930,,,,,,,,,
C�te d'Ivoire,CIV,1934,,,,,,,,,
C�te d'Ivoire,CIV,1938,,,,,,,,,
C�te d'Ivoire,CIV,1950,,,,,,,,,
C�te d'Ivoire,CIV,1954,,,,,,,,,
C�te d'Ivoire,CIV,1958,,,,,,,,,
C�te d'Ivoire,CIV,1962,,,,,,,,,
C�te d'Ivoire,CIV,1966,,,,,,,,,
C�te d'Ivoire,CIV,1970,,,,,,,,,
C�te d'Ivoire,CIV,1974,,,,,,,,,
C�te d'Ivoire,CIV,1978,,,,,,,,,
C�te d'Ivoire,CIV,1982,,,,,,,,,
C�te d'Ivoire,CIV,1986,,,,,,,,,
C�te d'Ivoire,CIV,1990,,,,,,,,,
C�te d'Ivoire,CIV,1994,,,,,,,,,
C�te d'Ivoire,CIV,1998,,,,,,,,,
C�te d'Ivoire,CIV,2002,,,,,,,,,
C�te d'Ivoire,CIV,2006,0,0,1,0,1,1,0,9,1
C�te d'Ivoire,CIV,2010,1,1,0,0,0,2,0,5,0
C�te d'Ivoire,CIV,2014,0,0,0,0,4,0,0,7,0
Denmark,DEN,1930,,,,,,,,,
Denmark,DEN,1934,,,,,,,,,
Denmark,DEN,1938,,,,,,,,,
Denmark,DEN,1950,,,,,,,,,
Denmark,DEN,1954,,,,,,,,,
Denmark,DEN,1958,,,,,,,,,
Denmark,DEN,1962,,,,,,,,,
Denmark,DEN,1966,,,,,,,,,
Denmark,DEN,1970,,,,,,,,,
Denmark,DEN,1974,,,,,,,,,
Denmark,DEN,1978,,,,,,,,,
Denmark,DEN,1982,,,,,,,,,
Denmark,DEN,1986,1,0,1,2,2,2,0,4,1
Denmark,DEN,1990,,,,,,,,,
Denmark,DEN,1994,,,,,,,,,
Denmark,DEN,1998,4,0,0,2,1,1,0,12,2
Denmark,DEN,2002,0,1,1,0,1,1,0,9,0
Denmark,DEN,2006,,,,,,,,,
Denmark,DEN,2010,0,0,1,0,1,1,0,6,0
Denmark,DEN,2014,,,,,,,,,
Dutch East Indies,INH,1930,,,,,,,,,
Dutch East Indies,INH,1934,,,,,,,,,
Dutch East Indies,INH,1938,0,0,0,0,0,0,0,0,0
Dutch East Indies,INH,1950,,,,,,,,,
Dutch East Indies,INH,1954,,,,,,,,,
Dutch East Indies,INH,1958,,,,,,,,,
Dutch East Indies,INH,1962,,,,,,,,,
Dutch East Indies,INH,1966,,,,,,,,,
Dutch East Indies,INH,1970,,,,,,,,,
Dutch East Indies,INH,1974,,,,,,,,,
Dutch East Indies,INH,1978,,,,,,,,,
Dutch East Indies,INH,1982,,,,,,,,,
Dutch East Indies,INH,1986,,,,,,,,,
Dutch East Indies,INH,1990,,,,,,,,,
Dutch East Indies,INH,1994,,,,,,,,,
Dutch East Indies,INH,1998,,,,,,,,,
Dutch East Indies,INH,2002,,,,,,,,,
Dutch East Indies,INH,2006,,,,,,,,,
Dutch East Indies,INH,2010,,,,,,,,,
Dutch East Indies,INH,2014,,,,,,,,,
Ecuador,ECU,1930,,,,,,,,,
Ecuador,ECU,1934,,,,,,,,,
Ecuador,ECU,1938,,,,,,,,,
Ecuador,ECU,1950,,,,,,,,,
Ecuador,ECU,1954,,,,,,,,,
Ecuador,ECU,1958,,,,,,,,,
Ecuador,ECU,1962,,,,,,,,,
Ecuador,ECU,1966,,,,,,,,,
Ecuador,ECU,1970,,,,,,,,,
Ecuador,ECU,1974,,,,,,,,,
Ecuador,ECU,1978,,,,,,,,,
Ecuador,ECU,1982,,,,,,,,,
Ecuador,ECU,1986,,,,,,,,,
Ecuador,ECU,1990,,,,,,,,,
Ecuador,ECU,1994,,,,,,,,,
Ecuador,ECU,1998,,,,,,,,,
Ecuador,ECU,2002,1,0,0,1,0,0,0,9,0
Ecuador,ECU,2006,1,1,0,1,0,2,0,9,0
Ecuador,ECU,2010,,,,,,,,,
Ecuador,ECU,2014,0,1,1,0,1,0,0,5,1
Egypt,EGY,1930,,,,,,,,,
Egypt,EGY,1934,0,0,2,0,0,0,0,0,0
Egypt,EGY,1938,,,,,,,,,
Egypt,EGY,1950,,,,,,,,,
Egypt,EGY,1954,,,,,,,,,
Egypt,EGY,1958,,,,,,,,,
Egypt,EGY,1962,,,,,,,,,
Egypt,EGY,1966,,,,,,,,,
Egypt,EGY,1970,,,,,,,,,
Egypt,EGY,1974,,,,,,,,,
Egypt,EGY,1978,,,,,,,,,
Egypt,EGY,1982,,,,,,,,,
Egypt,EGY,1986,,,,,,,,,
Egypt,EGY,1990,0,0,0,0,0,0,0,4,0
Egypt,EGY,1994,,,,,,,,,
Egypt,EGY,1998,,,,,,,,,
Egypt,EGY,2002,,,,,,,,,
Egypt,EGY,2006,,,,,,,,,
Egypt,EGY,2010,,,,,,,,,
Egypt,EGY,2014,,,,,,,,,
El Salvador,SLV,1930,,,,,,,,,
El Salvador,SLV,1934,,,,,,,,,
El Salvador,SLV,1938,,,,,,,,,
El Salvador,SLV,1950,,,,,,,,,
El Salvador,SLV,1954,,,,,,,,,
El Salvador,SLV,1958,,,,,,,,,
El Salvador,SLV,1962,,,,,,,,,
El Salvador,SLV,1966,,,,,,,,,
El Salvador,SLV,1970,0,0,0,0,0,0,0,4,0
El Salvador,SLV,1974,,,,,,,,,
El Salvador,SLV,1978,,,,,,,,,
El Salvador,SLV,1982,0,0,0,0,1,0,0,5,0
El Salvador,SLV,1986,,,,,,,,,
El Salvador,SLV,1990,,,,,,,,,
El Salvador,SLV,1994,,,,,,,,,
El Salvador,SLV,1998,,,,,,,,,
El Salvador,SLV,2002,,,,,,,,,
El Salvador,SLV,2006,,,,,,,,,
El Salvador,SLV,2010,,,,,,,,,
El Salvador,SLV,2014,,,,,,,,,
England,ENG,1930,,,,,,,,,
England,ENG,1934,,,,,,,,,
England,ENG,1938,,,,,,,,,
England,ENG,1950,0,0,1,1,0,0,0,0,0
England,ENG,1954,0,2,2,0,3,0,1,0,0
England,ENG,1958,0,0,0,1,2,0,0,0,0
England,ENG,1962,0,0,2,0,1,0,0,0,0
England,ENG,1966,0,2,2,0,2,3,2,2,0
England,ENG,1970,0,0,1,1,1,0,0,2,0
England,ENG,1974,,,,,,,,,
England,ENG,1978,,,,,,,,,
